"编号","所属产品","所属模块","所属计划","需求来源","来源备注","需求名称","需求描述","验收标准","关键词","优先级","预计工时","当前状态","所处阶段","T","B","C","由谁创建","创建日期","指派给","指派日期","抄送给","由谁评审","评审时间","由谁关闭","关闭日期","关闭原因","最后修改","最后修改日期","细分需求","相关需求","重复需求ID","附件"
"203","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","","","内蒙国寿跳转激活链接规则调整","访问集成页不再需要planNo参数，仅传递userid，点击服务按钮时如果没有服务权限，则根据点击的按钮不同来跳转不同的激活链接，对应关系见产品配置excel


因为影响到国寿正式环境使用，需要今天完成调整上线。","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-17","Closed","2021-05-24","","刘博阳","2021-05-17","刘博阳","2021-05-24","已完成","刘博阳","2021-05-24","","","0","内蒙国寿大健康项目开发需求V2.0.docx
内蒙国寿产品配置517.xlsx
",""
"201","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","客户","","联通电话医生服务对接需求","产品名称：联通电话医生服务-月度，产品标识码：I21AS9
产品名称：联通电话医生服务-年度，产品标识码：I21AT0

只做备案对接，根据数据模板提供备案接口，在接口文档参数【保单号】字段后面备注：传输订单号","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-14","Closed","2021-05-24","","","0000-00-00","刘博阳","2021-05-24","已完成","刘博阳","2021-05-24","","","0","",""
"191","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","工银安盛河北绿通VIP白金卡定时邮件","每天早上6点提取：I21AO7产品的全量激活数据，发送邮件到：zhangli_45@qq.com。

邮件标题：工银安盛河北绿通VIP白金卡激活数据
邮件内容：附件中是工银安盛河北绿通VIP白金卡的激活清单，请查收！
附件表头：卡号、激活时间、客户姓名、营销员姓名


今日先按以上规则提取一次全量数据发送到：hongxiachen@healthlink.cn","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-13","Closed","2021-05-17","","","0000-00-00","刘博阳","2021-05-17","已完成","刘博阳","2021-05-17","","","0","",""
"190","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","人保财北分服务记录提取需求","背景：
产品名称：人保财险北分高端医疗救援服务，产品标识码：B20AP1，服务使用入口为珊瑚健康管家医疗助手，备案方式为excel导入CRM后进入公众号绑定信息。
需要提取该产品下备案用户的：视频医生、在线咨询、优惠购药，服务使用次数
发送到：felixzhou@healthlink.cn


服务次数统计规则：



  视频医生：分配邀约码的数量
  在线咨询：以udesk后台工单记录数量为准
  优惠购药：实际完成支付的订单数





数据提取：
统计时间范围2021-01-01 至 2021-04-30，每个月的服务记录总量
附件字段：月份、服务名称、使用次数





","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-12","Closed","2021-05-17","","","0000-00-00","刘博阳","2021-05-17","已完成","刘博阳","2021-05-17","","","0","",""
"182","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","大连垫付卡激活数据定时邮邮件","每天凌晨提取前一日项目编码：HLS2071008B017下所有产品的激活数据，发送邮件。

邮件标题：大连国寿快捷医疗垫付项目激活数据
邮件内容：附件中是大连国寿快捷医疗垫付项目的激活清单，请查收！
附件表头：卡号、产品名称、激活时间、服务开始时间、服务截止时间、客户姓名


邮件发送至：xinhuo@healthlink.cn","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-10","Closed","2021-05-12","","","0000-00-00","刘博阳","2021-05-12","已完成","刘博阳","2021-05-12","","","0","",""
"177","2021普惠项目对接(#1)","/(#0)","","","","安享百万医院代码更新","将案件信息采集页中医院信息按照附件excel更新，以此版本医院代码为准","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-10","Closed","2021-05-19","","","0000-00-00","刘博阳","2021-05-19","已完成","刘博阳","2021-05-19","","","0","医院代码0510.xlsx
",""
"174","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","内蒙国寿大健康对接开发","需求详见文档


5-10：产品配置表增加给国寿接口返回的产品等级、国寿访问地址时在planNo字段的传参ID","","","3","0","已关闭","已关闭","3","0","0","刘博阳","2021-05-07","Closed","2021-05-11","","","0000-00-00","刘博阳","2021-05-11","已完成","刘博阳","2021-05-11","","","0","内蒙国寿大健康项目开发需求V1.0.docx
产品配置.xlsx
",""
"170","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","北京国寿分诊导医服务卡定时邮件任务","每天凌晨提取截止到提数时，I21AP3产品的所有激活数据，发送邮件。

邮件标题：北京国寿分诊导医服务卡项目激活数据
邮件内容：附件中是北京国寿分诊导医服务卡项目的激活清单，请查收！
附件表头：项目编码、卡号、产品名称、支公司名称、营销员姓名、营销员工号、激活时间、服务截止时间、客户姓名

收件人邮箱：jinfangliu@healthlink.cn","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-06","Closed","2021-05-07","","","0000-00-00","刘博阳","2021-05-07","已完成","刘博阳","2021-05-07","","","0","",""
"169","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","英大电话记录定时提取需求","产品名称：英大客服部健康管理服务，产品编码：I20BI2


设置定时任务，每周一凌晨提取此产品在前一周产生的健康咨询服务记录，生成excel并通过邮件发送到：guangjingyu@healthlink.cn


提取规则：
       工单位置：HBS--健康业务--健康咨询
       提取字段：会员姓名、性别、年龄、手机号、身份证号（保留前四后四，中间用星号脱敏）、科室组别、专业分类、处置类型、处理时间","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-06","Closed","2021-05-12","","","0000-00-00","刘博阳","2021-05-12","已完成","刘博阳","2021-05-12","","","0","",""
"167","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","国寿续服二维码修改查询条件","附件二维码目前的卡产品查询条件为：身份证号+产品名称中包含“绿通VIP”
调整为：身份证号+产品名称中包含“绿通VIP”或“快捷垫付”


纯垫付卡的续服规则补充在文档中绿通卡续服规则下方","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-29","Closed","2021-05-11","","","0000-00-00","刘博阳","2021-05-11","已完成","刘博阳","2021-05-11","","","0","4-1国寿重疾绿通卡续服通道.png
国寿续服需求开发文档V4.0.docx
二维码.zip
",""
"159","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","安享百万院后照护项目开发需求","与安享对接院后照护服务，具体需求见附件


V1.0：2.4数据回传部分因为没有提供完整接口，只需先了解回传规则。


V1.1：完善需求细节


V1.2：小服务逻辑调整


V1.3：补充亿客回传接口","","","3","0","激活","测试完毕","2","2","46","刘博阳","2021-04-26","焦英莲","2021-04-26","","","0000-00-00","","0000-00-00","","刘博阳","2021-04-26","","","0","安享百万院后照护服务开发需求V1.0.docx
客户成长住院垫付院后照护接口文档V5.2.docx
安享百万院后照护服务开发需求V1.1.docx
安享百万院后照护服务开发需求V1.2.docx
安享百万院后照护服务开发需求V1.3.docx
",""
"158","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","安心产品套餐对应关系更新","安心百万医疗项目的医疗套餐编码有更新，需要重新配置，更新位置已标红（绿通后台配置不了套餐编码）


补充更新：
产品编码“I21AB4”的套餐P100不变，新增加P101、P127、P128三个套餐","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-25","Closed","2021-04-26","","","0000-00-00","刘博阳","2021-04-26","已完成","刘博阳","2021-04-26","","","0","安心产品对应关系20210425.xlsx
",""
"157","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","客户","","泰康项目新产品对接","背景：泰康项目历史对接过2个产品，此次对接方不变，内部新上线1个产品用于区分备案渠道


在原接口基础上更新备案接口和服务记录查询接口


产品名称：泰康经代健康专线2021，产品标识码：B20AU8
数据模板字段相同


附件为原接口","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-25","Closed","2021-04-28","","","0000-00-00","刘博阳","2021-04-28","已完成","刘博阳","2021-04-28","","","0","泰康个险健康专线2016备案接口文档(加密)V1.docx
泰康服务使用记录查询接口-V1.docx
",""
"152","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","客户","","禄航健康项目开发需求","提供标准备案接口，详见文档","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-21","Closed","2021-04-23","","","0000-00-00","刘博阳","2021-04-23","已完成","刘博阳","2021-04-23","","","0","禄航健康项目开发需求V1.0.docx
",""
"147","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","","","获取udesk聊天记录优化","接口调用频次控制在2秒以外","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-20","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","",""
"143","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","天安佰盈定时邮件提数需求","每周周一凌晨提取截止到提数时，I21AL7产品的所有激活数据，发送邮件。

邮件标题：天安佰盈健康管理项目激活数据
邮件内容：尊敬的用户你好！附件中是天安佰盈健康管理项目的激活清单，请查收！
附件表头：项目编码、卡号、产品名称、支公司名称、营销员姓名、营销员工号、激活时间、服务截止时间、客户姓名

收件人邮箱：zhangw3@ta-by.com
抄送人邮箱：jinfangliu@healthlink.cn","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-16","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","",""
"140","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","产品经理","","珊瑚视频医生切换udesk","本次切换视频医生供应商仅限于珊瑚公众号，珊瑚API的视频医生服务不变。","","","1","0","已关闭","已关闭","0","0","0","刘博阳","2021-04-16","Closed","2021-04-16","","","0000-00-00","刘博阳","2021-04-16","已取消","刘博阳","2021-04-16","","","0","珊瑚视频医生切换udesk开发需求1.0.docx
",""
"131","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","中荷项目修改视频医生服务发起规则","背景：曾经为中荷项目开发过一套卡激活+服务页面，用户通过卡激活完善信息后，在远盟页面发起视频医生服务，其中的视频医生服务供应商为企鹅医生。
本次需要将服务改为和缓视频医生，涉及到点击服务按钮时的验证规则调整。


详见需求文档，卡激活部分的黄色修改内容。


3.1更新内容：增加为此项目单独设计的视频医生UI页面","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-13","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","中荷项目对接需求开发文档V3.0.docx
中荷项目对接需求开发文档V3.1.docx
",""
"130","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","超e保孝心版页面流程调整需求","跳转孝心版服务页面跳转逻辑，不设及接口改动，具体内容详见需求文档。

","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-12","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","超e保孝心版页面流程调整需求V1.0.docx
",""
"129","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","上海国寿大礼包历史数据备案","原禅道105需求：
需要单独将2021-03-18和2021-03-23两天的历史备案数据进行备案","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-12","Closed","2021-04-13","","","0000-00-00","刘博阳","2021-04-13","已完成","刘博阳","2021-04-13","","","0","",""
"128","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","水滴保险服务页面文字调整需求","","将“水滴保险就医绿色通道服务”改为“水滴保就医绿色通道服务”


需要将水滴所有产品类型的服务页面文字统一修改
水滴项目包含的产品类型：水滴百万医疗、重疾、百万医疗2021、重疾2021、长险","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-12","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","水滴服务页面文字调整需求.docx
",""
"127","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","超e保在线咨询服务记录定时提取需求","设置定时任务，每周每月定时提取附件中在线咨询插件的服务记录，提取规则：


按excel中3个sheet分别统计家庭医生、报告解读、专科医生插件的服务记录，字段：对话开始时间、首次响应时间、持续时间，来源插件名称（用插件ID与excel插件名称进行匹配查询）
邮件中发送的excel也分为3个sheet页


每周提取：每周五凌晨，提取本周四到上周五之间产生的服务记录。
每月提取：每月1号，提取上个自然月全量服务记录。


邮件发送至：xihuiwang@healthlink.cn



","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-12","Closed","2021-04-23","","","0000-00-00","刘博阳","2021-04-23","已完成","刘博阳","2021-04-23","","","0","超e保在线咨询插件.xlsx
",""
"121","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","市场","","华泰视频医生服务记录定时邮件需求","产品名称：华泰家庭视频医生咨询卡，产品标识码：I21AB9


于每月1号凌晨提取前一个月内此产品的视频医生服务使用记录，提取字段：产品名称、用户姓名、身份证号（脱敏）、服务使用日期。
将服务记录生成为excel表，通过定时邮件发送到：lizhang@healthlink.cn、xiaoyanlin@healthlink.cn


邮件标题：I21AB9-华泰家庭视频医生咨询卡服务记录


第一次发送时间定为5月1号凌晨","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-07","Closed","2021-04-13","","","0000-00-00","刘博阳","2021-04-13","已完成","刘博阳","2021-04-13","","","0","",""
"110","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","客户","","中荷项目定时邮件收件人修改","原邮件标题：I20BK8（中荷人寿AI智能服务）产品AI智能服务记录


收件地址修改为以下邮箱
发送：Yao.Wang@bob-cardif.com，抄送：guangjingyu@healthlink.cn


同时补发3月的数据","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-06","Closed","2021-04-13","","","0000-00-00","刘博阳","2021-04-13","已完成","刘博阳","2021-04-13","","","0","",""
"108","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","客户","","视频医生服务页面修改","分为API版本和珊瑚版本两处需要修改的地方，UI上本次只改动文字部分，切图请前端同事直接与陈钰联系。
详见附件文档","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-06","Closed","2021-04-13","","","0000-00-00","刘博阳","2021-04-13","已完成","刘博阳","2021-04-13","","","0","视频医生服务页面修改.docx
",""
"105","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","上海国寿团险健康大礼包线上备案对接","产品名称：上海国寿团险健康大礼包服务，产品标识码：A18AQ1


备案方式由线下excel改为线上接口备案。
远盟开发定时任务每天调用国寿接口获取指定产品的备案会员信息，userid存入保单号字段中。
接口入参：

plan_no:PL221003
group_code:C001
lv:1

","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-06","Closed","2021-04-07","","","0000-00-00","刘博阳","2021-04-07","已完成","刘博阳","2021-04-07","","","0","",""
"102","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","超e保2021慢病版开发需求","与超e保2021页面一致仅修改页面标题文字和替换在线咨询链接
需要提供备案接口和服务接口
详见需求文档","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-01","Closed","2021-04-13","","","0000-00-00","刘博阳","2021-04-13","已完成","刘博阳","2021-04-13","","","0","超e保2021慢病版开发需求V1.0.docx
udesk链接.xlsx
",""
"101","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","客户","","思普科视频医生项目开发需求","提供
1、标准化的备案接口
2、珊瑚API视频医生接口


产品在4月2号上线完毕后在禅道补充信息。


客户上线时间紧张，希望远盟能在4月2号下班前提供接口文档，邮件同时发送给于广静


4-8更新内容：
为此项目开发单独的视频医生服务页面，替换标准服务页面的UI图和免责声明，UI微云地址：https://share.weiyun.com/vYrMwXbU，用户免责声明见附件


4-13更新内容：
免责声明更新","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-01","Closed","2021-04-22","","","0000-00-00","刘博阳","2021-04-22","已完成","刘博阳","2021-04-22","","","0","思普科视频医生项目开发需求V1.0.docx
用户授权及免责声明.docx
用户授权与免责声明（4月13）.docx
",""
"100","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","2020国寿总部个险重疾项目开发需求","原禅道号46需求：


V5.0新增内容：
1、增加配医陪同、路费报销两个服务的国寿回执功能。
2、对重疾工单节点字段调整。


备注：开发本次需求前需要先将3月31号琛姐邮件提到的服务分类增加上。","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-01","Closed","2021-04-22","","","0000-00-00","刘博阳","2021-04-22","已完成","刘博阳","2021-04-22","","","0","2020国寿总部个险重疾项目开发需求V5.0.docx
服务编码对照表.xlsx
服务记录回传字段.xlsx
",""
"88","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","超e保2021页面修改","对应原禅道号26需求，修改了电话咨询预约页面的按钮，修改部分和效果图详见文档。","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-29","Closed","2021-04-01","","","0000-00-00","刘博阳","2021-04-01","已完成","刘博阳","2021-04-01","","","0","太平人寿线上医生超e保2021开发需求V2.0.docx
",""
"83","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","太保专用医院清单内容更新","原为太保项目开发的医院清单地址如下，需要按照附件excel内容，将【区】字段空值补充完整。
测试：https://lvtest.healthlink.cn/shanhu-manager/html/careList/advanceHospitalList.html
生产：https://lvtong.healthlink.cn/shanhu-manager/html/careList/advanceHospitalList.html
","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-25","Closed","2021-04-01","","","0000-00-00","刘博阳","2021-04-01","已完成","刘博阳","2021-04-01","","","0","垫付业务执行区域范围清单20210325.xlsx
",""
